idx,title,rank_99,rank_85,rank_50,rank_by_inbound_links,pr_50,pr_85,pr_99,N_inbound_links,N_outbound_links,link
715,Wahrscheinlichkeitstheorie,3,1,1,4,0.012182559611491355,0.01925105043138528,0.02041191482767974,269,47,/wiki/Wahrscheinlichkeitstheorie
0,Stochastik,4,2,2,3,0.011233296689953338,0.01720392929861141,0.017787993954094323,272,57,/wiki/Stochastik
313,Maßtheorie,2,3,4,10,0.008544143749256326,0.01719539763469975,0.02349723856763192,185,41,/wiki/Ma%C3%9Ftheorie
854,Zufallsvariable,7,4,3,1,0.009064359942095965,0.013838532051129195,0.01357485263989216,313,50,/wiki/Zufallsvariable
171,Σ-Algebra,5,5,10,13,0.005603081959535506,0.011375449881794125,0.014913657605573753,143,40,/wiki/%CE%A3-Algebra
41,Erwartungswert,11,6,5,2,0.007309045954323575,0.010722253290672753,0.010391236795661778,290,50,/wiki/Erwartungswert
327,Borelsche σ-Algebra,6,7,12,15,0.005297304876623456,0.010550550790074473,0.013617270004488086,131,18,/wiki/Borelsche_%CF%83-Algebra
971,Wahrscheinlichkeitsmaß,10,8,7,9,0.006172729777874948,0.01013738720164924,0.011092201742672655,186,84,/wiki/Wahrscheinlichkeitsma%C3%9F
949,Lebesgue-Maß,8,9,15,26,0.004528092733383159,0.009055367194239388,0.012160594508617641,104,22,/wiki/Lebesgue-Ma%C3%9F
756,Wahrscheinlichkeitsverteilung,14,10,9,6,0.0056466571252549325,0.008700381489283279,0.00890724398637125,222,84,/wiki/Wahrscheinlichkeitsverteilung
935,Maß (Mathematik),9,11,18,46,0.004004428311796824,0.008690000158886161,0.012157851357531169,85,96,/wiki/Ma%C3%9F_(Mathematik)
1176,Normalverteilung,15,12,8,5,0.005907222801211331,0.008629545333546674,0.008527179202901233,264,116,/wiki/Normalverteilung
592,Stochastischer Prozess,20,13,6,8,0.007065904825327633,0.008576425477244852,0.006668651343705701,193,33,/wiki/Stochastischer_Prozess
378,Messbare Funktion,13,14,14,14,0.004794031630194762,0.008283127999763789,0.009694831665509792,139,22,/wiki/Messbare_Funktion
380,Messraum (Mathematik),12,15,17,20,0.0042920026093744516,0.008191769252190215,0.010209403016441257,118,15,/wiki/Messraum_(Mathematik)
898,Varianz (Stochastik),18,16,13,7,0.005223277427351556,0.007620240932969044,0.00718428428169733,221,69,/wiki/Varianz_(Stochastik)
111,Mathematische Statistik,19,17,11,11,0.005475156096921963,0.007507914095182137,0.006699464259316355,173,42,/wiki/Mathematische_Statistik
755,Wahrscheinlichkeit,28,18,16,23,0.004470001679917781,0.006264022101336015,0.005710638675108056,112,35,/wiki/Wahrscheinlichkeit
376,Maßraum,16,19,23,86,0.0030507558326314205,0.005695914274276073,0.007611275121831388,66,20,/wiki/Ma%C3%9Fraum
